video_date,origin_poi_cate,dest_poi_cate,flow_n
2023-07-05,area,Natural,1
2023-07-05,area,area,1
2023-07-06,Cityscape,Cityscape,1
2023-07-06,Cityscape,Cultural,1
2023-07-06,Cityscape,Entertainment,1
2023-07-06,Cityscape,Hotel,1
2023-07-06,Cultural,Cityscape,1
2023-07-06,Cultural,Religious,1
2023-07-06,Entertainment,Cultural,1
2023-07-06,Entertainment,Entertainment,2
2023-07-06,Entertainment,Transit,1
2023-07-06,Hotel,Cityscape,1
2023-07-06,Religious,Shopping,1
2023-07-06,Shopping,Entertainment,1
2023-07-07,Hotel,Dining,1
2023-07-08,Cultural,Entertainment,1
2023-07-08,Entertainment,Cultural,1
2023-07-08,Transit,Transit,1
2023-07-08,area,area,1
2023-07-09,Transit,Entertainment,1
2023-07-09,Transit,Hotel,1
2023-07-10,Dining,Cityscape,1
2023-07-10,Dining,Dining,1
2023-07-10,Transit,Entertainment,1
2023-07-11,Entertainment,Religious,1
2023-07-11,Natural,Entertainment,1
2023-07-11,Religious,Natural,1
2023-07-11,Shopping,area,1
2023-07-11,area,Cityscape,1
2023-07-11,area,Shopping,1
2023-07-12,Transit,Transit,1
2023-07-13,Cultural,Natural,1
2023-07-13,Entertainment,Cultural,1
2023-07-13,Entertainment,Transit,1
2023-07-13,Transit,Entertainment,1
2023-07-14,Entertainment,Shopping,1
2023-07-14,Shopping,Transit,1
2023-07-14,Transit,Entertainment,2
2023-07-15,Cityscape,Cityscape,1
2023-07-15,Cityscape,Shopping,1
2023-07-15,Cultural,Dining,1
2023-07-15,Dining,Dining,2
2023-07-15,Dining,Entertainment,1
2023-07-15,Dining,Transit,1
2023-07-15,Dining,area,2
2023-07-15,Entertainment,Cityscape,1
2023-07-15,Hotel,Dining,1
2023-07-15,Shopping,Shopping,1
2023-07-15,Shopping,area,1
2023-07-15,Transit,Dining,1
2023-07-15,area,Cityscape,1
2023-07-15,area,Cultural,1
2023-07-15,area,Hotel,1
2023-07-15,area,area,2
2023-07-16,Cityscape,Cultural,1
2023-07-17,Entertainment,Transit,1
2023-07-17,Transit,Entertainment,1
2023-07-17,Transit,Natural,1
2023-07-17,Transit,Transit,2
2023-07-18,Natural,Cultural,1
2023-07-18,area,Natural,1
2023-07-19,area,Entertainment,1
2023-07-20,Entertainment,Entertainment,1
2023-07-20,Entertainment,Religious,1
2023-07-20,Transit,area,1
2023-07-20,area,Entertainment,1
2023-07-20,area,area,1
2023-07-21,Cityscape,Entertainment,1
2023-07-21,Cityscape,Natural,1
2023-07-21,Dining,Dining,1
